CDID,Units,SumPatients,Sites,AnnualPatients
0101,"4,740","2,422",2,"1,514"
0103,"5,187","2,025",1,"1,266"
0105,"3,456","1,547",2,967
0106,"3,082","1,641",4,"1,026"
0107,"25,338","10,061",5,"6,288"
0407,"9,345","2,289",2,"1,431"
0503,132,0,1,0
0616,975,32,1,20
0901,3,0,1,0
0904,"3,195",317,2,198
1000,"1,303",285,3,178
1100,18,4,1,3
1204,"3,040","1,004",2,628
1205,676,173,1,108
1217,"4,233","1,693",1,"1,058"
1219,"3,365","1,243",1,777
1222,60,16,1,10
1304,227,49,1,31
1305,"2,455",90,1,56
1306,"1,590",487,1,304
1313,"3,080","1,475",1,922
1314,"1,102",645,1,403
1602,"1,672",482,1,301
1705,48,4,1,3
1706,"1,139",565,1,353
1707,"15,801","5,331",2,"3,332"
1708,19,42,1,26
1709,263,74,1,46
1711,442,154,2,96
1713,"4,243","2,507",1,"1,567"
1714,800,457,1,286
1802,"5,901","1,449",2,906
1803,"6,994","2,618",1,"1,636"
1804,812,337,1,211
1807,"1,451",381,1,238
1808,"2,282",675,1,422
1903,451,203,1,127
2004,"7,003","3,392",2,"2,120"
2104,744,153,1,96
2202,231,14,1,9
2205,"3,845","1,036",2,648
2401,93,5,1,3
2605,"2,460",798,2,499
2606,317,66,1,41
2609,761,553,3,346
2610,,0,1,0
2611,"1,144",726,1,454
2614,"1,325",308,3,193
2801,"1,947",842,2,526
2802,255,45,1,28
2902,701,15,2,9
2903,"3,055","1,029",2,643
2904,"1,421",552,1,345
2905,"16,027","7,972",2,"4,983"
2906,"17,572","3,826",2,"2,391"
2907,"12,398","6,543",3,"4,089"
2908,"3,042",986,1,616
3101,596,90,1,56
3201,"5,764","1,797",1,"1,123"
3404,"1,479",273,2,171
3408,825,325,2,203
3410,505,169,1,106
3411,"1,619",385,1,241
3601,471,61,1,38
3604,"1,483",646,1,404
3613,492,206,1,129
3703,"2,524","1,479",1,924
3706,"1,685",852,1,533
3708,"5,482","2,693",1,"1,683"
3710,"1,298",901,1,563
3711,"3,764","1,037",1,648
3712,"16,309","11,042",1,"6,901"
3713,"10,849","4,320",2,"2,700"
3902,936,158,1,99
3903,"3,078","1,065",1,666
3904,"1,672",360,1,225
3907,575,401,1,251
3908,"3,677",827,1,517
3910,"2,021",688,3,430
3912,927,256,1,160
3915,321,1,1,1
4001,"10,410","4,861",3,"3,038"
4003,"5,438",894,1,559
4005,458,69,1,43
4104,348,62,1,39
4201,"1,562",492,1,308
4206,"4,296","3,075",1,"1,922"
4209,386,250,1,156
4210,"1,627",418,1,261
4213,"1,118",404,1,253
4216,581,185,1,116
4501,"12,213","3,580",2,"2,238"
4502,"2,142",757,1,473
4503,"7,003","2,794",2,"1,746"
4504,"7,222","2,261",1,"1,413"
4505,670,207,1,129
4506,"44,307","23,877",3,"14,923"
4507,791,743,1,464
4600,"3,559",945,1,591
4701,"16,362","4,120",3,"2,575"
4703,"6,751","1,318",3,824
4704,"7,454","2,784",2,"1,740"
4705,"17,597","6,826",6,"4,266"
4707,"2,654",422,1,264
4708,"6,791","2,287",4,"1,429"
4709,"10,625","2,062",3,"1,289"
4802,"13,215","3,980",2,"2,488"
4805,"2,745","2,889",1,"1,806"
4809,"14,082","8,312",2,"5,195"
4810,80,18,1,11
4811,"3,955","1,088",1,680
4813,"2,069","7,463",1,"4,664"
4814,906,227,2,142
4815,349,207,1,129
4817,"6,864","1,489",2,931
4818,"16,445","8,900",3,"5,563"
4821,"8,283","4,072",4,"2,545"
4823,"4,116","2,748",1,"1,718"
4825,"2,698","1,436",1,898
4826,942,106,1,66
4827,"10,138","23,175",1,"14,484"
4830,857,"2,043",3,"1,277"
4832,"13,321","6,383",2,"3,989"
4833,"3,676","3,725",1,"2,328"
4835,"3,157","2,147",1,"1,342"
4904,"2,801","1,124",1,703
5101,"9,526","3,930",3,"2,456"
5104,247,130,1,81
5107,"1,286",141,1,88
5501,"3,049","1,742",4,"1,089"
5502,"1,243",607,1,379
5504,"2,555",560,2,350
5505,451,145,1,91
5506,376,300,2,188
5600,"1,625",921,1,576